Year,Team,off_G,off_PA,off_HR,off_R,off_RBI,off_SB,off_BB%,off_K%,off_ISO,off_BABIP,off_AVG,off_OBP,off_SLG,off_wOBA,off_wRC+,off_BsR,off_Off,off_Def,off_WAR,pit_W,pit_L,pit_SV,pit_G,pit_GS,pit_IP,pit_R,pit_K/9,pit_BB/9,pit_HR/9,pit_BABIP,pit_LOB%,pit_GB%,pit_HR/FB,pit_ERA,pit_FIP,pit_xFIP,pit_WAR,def_Inn,def_rSB,def_rGDP,def_rARM,def_rGFP,def_rPM,def_DRS,def_BIZ,def_Plays,def_RZR,def_OOZ,def_CPP,def_RPP,def_TZL,def_FSR,def_ARM,def_DPR,def_RngR,def_ErrR,def_UZR,def_UZR/150,def_Def,lgID,teamID,G,W,L,DivWin,WCWin,LgWin,WSWin,playoffs
2012,Angels,2267,6121,187,767,732,134,0.073,0.182,0.159,0.311,0.274,0.332,0.433,0.331,113,12.9,109.2,45.7,37.5,89,73,38,606,162,1433.1,699,7.26,3.03,1.17,0.277,0.726,0.439,12.1 %,4.02,4.26,4.15,8.9,12900.0,-3.0,-1.0,2.0,23.0,28.0,50.0,2242.0,1883.0,0.84,471.0,66.0,3.4,,34.0,4.3,1.4,58.5,-4.0,60.2,8.7,62.5,AL,LAA,162,89,73,N,N,N,N,False
1974,Dodgers,2020,6328,139,798,743,149,0.094,0.13,0.129,0.294,0.272,0.342,0.401,0.337,111,2.5,82.1,68.3,37.4,102,60,23,371,162,1465.1,561,5.79,2.85,0.69,0.257,0.748,,,2.98,3.28,,22.9,,,,,,,,,,,,,,,,,,,,,,,NL,LAN,162,102,60,Y,,Y,N,True
1971,Pirates,1990,6278,154,788,744,65,0.075,0.146,0.142,0.301,0.274,0.33,0.417,0.335,112,2.8,86.7,47.9,37.4,97,65,48,391,162,1461.0,599,5.01,2.9,0.67,0.278,0.748,,,3.31,3.33,,13.2,,,,,,,,,,,,,,,,,,,,,,,NL,Pirates,162,97,65,Y,,Y,Y,True
1961,Yankees,1931,6222,240,825,779,28,0.087,0.126,0.179,0.266,0.263,0.329,0.442,0.339,108,0.3,63.1,111.3,37.2,109,53,39,364,163,1451.0,612,5.37,3.36,0.85,0.257,0.748,,,3.46,3.79,,14.9,,,,,,,,,,,,,,,,,,,,,,,AL,NYA,163,109,53,,,Y,Y,False
1941,Yankees,1667,6136,151,830,774,51,0.1,0.092,0.15,0.278,0.269,0.346,0.419,0.357,106,-6.2,41.6,102.8,37.2,101,53,26,275,156,1396.1,631,3.8,3.85,0.52,0.262,0.713,,,3.53,3.88,,12.1,,,,,,,,,,,,,,,,,,,,,,,AL,NYA,156,101,53,,,Y,Y,False
1996,Mariners,1736,6518,245,993,954,90,0.103,0.161,0.197,0.312,0.287,0.366,0.484,0.367,112,-1.2,109.5,33.1,37.1,85,76,34,564,161,1431.2,895,6.29,3.8,1.36,0.301,0.692,,,5.21,5.13,,11.0,,,,,,,,,,,,,,,,,,,,,,,AL,Mariners,161,85,76,N,N,N,N,False
1977,Yankees,1724,6261,184,831,784,93,0.085,0.109,0.163,0.291,0.281,0.344,0.444,0.347,117,0.2,123.5,27.7,37.0,100,62,34,316,162,1449.1,651,4.71,3.02,0.86,0.268,0.733,,,3.63,3.99,,16.1,,,,,,,,,,,,,,,,,,,,,,,AL,NYA,162,100,62,Y,,Y,Y,True
1944,Cardinals,1755,6168,100,772,722,37,0.088,0.076,0.126,0.287,0.275,0.344,0.402,0.352,108,3.9,63.6,99.3,36.9,105,49,12,270,157,1427.0,490,4.02,2.95,0.35,0.252,0.748,,,2.67,3.18,,22.5,,,,,,,,,,,,,,,,,,,,,,,NL,SLN,157,105,49,,,Y,Y,False
1970,Orioles,1986,6416,179,792,748,84,0.112,0.148,0.144,0.279,0.257,0.344,0.401,0.335,107,3.5,56.2,102.8,36.9,108,54,31,390,162,1478.2,574,5.73,2.85,0.85,0.26,0.765,,,3.15,3.59,,20.4,,,,,,,,,,,,,,,,,,,,,,,AL,Orioles,162,108,54,Y,,Y,Y,True
1932,Athletics,1612,6299,172,981,923,37,0.103,0.1,0.167,0.303,0.29,0.367,0.457,0.373,111,-4.4,88.2,64.4,36.7,94,60,10,246,154,1386.0,751,3.86,3.32,0.73,0.283,0.679,,,4.45,4.35,,14.6,,,,,,,,,,,,,,,,,,,,,,,AL,PHA,154,94,60,,,N,N,False
1958,Yankees,1821,5971,164,759,717,48,0.09,0.137,0.148,0.288,0.268,0.336,0.416,0.334,111,0.6,73.7,93.2,36.7,92,62,33,339,155,1379.0,577,5.2,3.64,0.76,0.253,0.747,,,3.22,3.72,,12.2,,,,,,,,,,,,,,,,,,,,,,,AL,NYA,155,92,62,,,Y,Y,False
1937,Yankees,1632,6293,174,979,922,60,0.113,0.096,0.173,0.293,0.283,0.369,0.456,0.378,110,-7.7,86.3,63.6,36.6,102,52,21,257,157,1396.0,671,4.2,3.26,0.59,0.279,0.7,,,3.65,4.07,,17.0,,,,,,,,,,,,,,,,,,,,,,,AL,NYA,157,102,52,,,Y,Y,False
1990,Athletics,1891,6240,164,733,693,141,0.104,0.159,0.137,0.281,0.254,0.336,0.391,0.329,109,4.3,70.6,85.0,36.4,103,59,64,465,162,1456.0,570,5.14,3.05,0.76,0.256,0.757,,,3.18,3.84,,14.5,,,,,,,,,,,,,,,,,,,,,,,AL,Athletics,162,103,59,Y,,Y,N,True
1921,Yankees,1604,6056,134,948,863,89,0.095,0.094,0.164,0.317,0.3,0.374,0.464,0.384,111,7.9,103.8,61.9,36.4,98,55,15,249,153,1364.0,706,3.17,3.1,0.34,0.289,0.668,,,3.82,4.03,,15.6,,,,,,,,,,,,,,,,,,,,,,,AL,NYA,153,98,55,,,Y,N,False
1924,Giants,1792,6067,95,857,781,82,0.077,0.079,0.131,0.316,0.3,0.358,0.432,0.367,114,8.9,113.0,56.0,36.3,93,60,21,302,154,1378.2,641,2.65,2.56,0.5,0.279,0.698,,,3.62,4.07,,9.4,,,,,,,,,,,,,,,,,,,,,,,NL,NY1,154,93,60,,,Y,N,False
2011,Red Sox,2269,6414,203,875,842,102,0.09,0.173,0.181,0.314,0.28,0.349,0.461,0.352,117,-12.2,114.3,21.1,36.2,90,72,36,606,162,1457.1,737,7.49,3.33,0.96,0.285,0.708,0.423,9.1 %,4.2,4.05,4.13,13.7,13116.0,0.0,-2.0,-7.0,-8.0,38.0,14.0,2169.0,1830.0,0.844,489.0,70.0,-6.6,,16.0,-3.5,0.1,42.1,5.3,44.0,5.3,30.4,AL,Red Sox,162,90,72,N,N,N,N,False
1922,Giants,1747,6107,80,852,756,116,0.073,0.069,0.123,0.319,0.304,0.362,0.428,0.366,106,1.4,49.3,96.9,36.1,93,61,15,291,156,1396.1,658,2.5,2.53,0.46,0.275,0.684,,,3.45,4.0,,11.5,,,,,,,,,,,,,,,,,,,,,,,NL,NY1,156,93,61,,,Y,Y,False
1998,Yankees,1962,6444,207,965,907,153,0.101,0.159,0.172,0.317,0.288,0.364,0.46,0.36,116,3.1,138.5,6.9,36.1,114,48,48,496,162,1456.2,656,6.67,2.88,0.96,0.277,0.738,,,3.82,4.15,,21.2,,,,,,,,,,,,,,,,,,,,,,,AL,NYA,162,114,48,Y,N,Y,Y,True
1970,Reds,2071,6222,191,775,726,115,0.088,0.158,0.165,0.296,0.27,0.336,0.436,0.342,108,4.2,67.5,66.8,36.0,102,60,60,414,162,1444.2,681,5.25,3.69,0.74,0.272,0.718,,,3.71,3.82,,12.0,,,,,,,,,,,,,,,,,,,,,,,NL,Reds,162,102,60,Y,,Y,N,True
1973,Athletics,2210,6257,147,758,714,128,0.095,0.147,0.129,0.286,0.26,0.333,0.389,0.327,109,6.2,69.1,66.0,36.0,94,68,41,365,162,1457.1,615,4.92,3.05,0.88,0.255,0.746,,,3.29,3.83,,9.6,,,,,,,,,,,,,,,,,,,,,,,AL,Athletics,162,94,68,Y,,Y,Y,True
1982,Brewers,1638,6337,216,891,843,84,0.076,0.113,0.176,0.285,0.279,0.335,0.455,0.348,120,-3.6,147.6,-4.5,35.9,95,67,47,376,163,1467.1,717,4.4,3.13,0.93,0.281,0.725,,,3.99,4.17,,11.2,,,,,,,,,,,,,,,,,,,,,,,AL,ML4,163,95,67,Y,,Y,N,True
2013,Red Sox,2264,6382,178,853,819,123,0.091,0.205,0.169,0.329,0.277,0.349,0.446,0.347,114,12.1,115.5,6.7,35.9,97,65,33,612,162,1454.0,656,8.01,3.24,0.97,0.294,0.745,0.429,10.2 %,3.79,3.84,3.89,16.0,13086.0,-3.0,-2.0,6.0,5.0,14.0,8.0,2084.0,1731.0,0.831,519.0,68.0,3.6,,20.0,-2.0,-1.8,23.0,2.3,21.6,2.6,16.2,AL,Red Sox,162,97,65,Y,N,Y,Y,True
2003,Braves,2362,6378,235,907,872,68,0.085,0.146,0.192,0.302,0.284,0.349,0.475,0.354,112,9.5,105.3,46.7,35.6,101,61,51,651,162,1456.1,740,6.13,3.43,0.91,0.283,0.706,0.476,11.0 %,4.1,4.21,4.24,15.2,13107.0,-1.0,-2.0,2.0,0.0,50.0,43.0,2662.0,1993.0,0.749,427.0,,,,,5.2,0.4,13.2,-11.1,7.6,1.9,2.6,NL,Braves,162,101,61,Y,N,N,N,True
1972,Reds,1952,6003,124,707,650,140,0.101,0.152,0.129,0.28,0.251,0.33,0.38,0.322,104,7.1,35.0,83.6,35.5,95,59,60,393,154,1412.2,557,5.13,2.77,0.82,0.265,0.763,,,3.21,3.41,,9.2,,,,,,,,,,,,,,,,,,,,,,,NL,Reds,154,95,59,Y,,Y,N,True
1984,Tigers,1875,6375,187,829,788,106,0.094,0.148,0.161,0.294,0.271,0.342,0.432,0.345,115,-6.0,109.2,27.9,35.5,104,58,51,430,162,1464.0,643,5.62,3.01,0.8,0.269,0.728,,,3.49,3.74,,19.5,,,,,,,,,,,,,,,,,,,,,,,AL,Tigers,162,104,58,Y,,Y,Y,True
1933,Yankees,1707,6066,144,927,853,76,0.115,0.084,0.156,0.292,0.284,0.369,0.44,0.375,118,-10.2,134.9,-5.1,35.4,91,59,22,275,152,1354.2,767,4.72,4.07,0.44,0.293,0.656,,,4.36,3.77,,13.3,,,,,,,,,,,,,,,,,,,,,,,AL,NYA,152,91,59,,,N,N,False
1993,Giants,2213,6255,167,807,757,120,0.082,0.148,0.151,0.303,0.276,0.34,0.427,0.337,108,-1.3,57.1,75.0,35.4,103,59,50,576,162,1456.2,636,6.07,2.73,1.04,0.274,0.756,,,3.63,4.15,,12.2,,,,,,,,,,,,,,,,,,,,,,,NL,SFN,162,103,59,N,,N,N,False
1929,Yankees,1764,6091,142,899,828,52,0.091,0.082,0.156,0.306,0.296,0.365,0.452,0.371,113,-13.8,92.8,58.5,35.2,88,66,17,298,154,1366.2,773,3.19,3.19,0.55,0.284,0.648,,,4.19,4.36,,10.1,,,,,,,,,,,,,,,,,,,,,,,AL,NYA,154,88,66,,,N,N,False
1957,Braves,1880,6050,199,772,722,35,0.076,0.12,0.173,0.278,0.269,0.327,0.442,0.337,111,4.7,86.1,70.6,35.1,95,59,24,338,155,1411.0,613,4.42,3.64,0.79,0.266,0.75,,,3.47,3.86,,7.7,,,,,,,,,,,,,,,,,,,,,,,NL,ML1,155,95,59,,,Y,Y,False
1998,Astros,2121,6437,166,873,818,155,0.096,0.174,0.156,0.321,0.28,0.356,0.436,0.347,113,8.7,111.8,44.5,35.1,102,60,44,501,162,1471.1,620,7.26,2.84,0.9,0.295,0.761,,,3.5,3.86,,18.4,,,,,,,,,,,,,,,,,,,,,,,NL,Astros,162,102,60,Y,N,N,N,True
1941,Dodgers,1816,6218,101,800,747,36,0.096,0.086,0.133,0.287,0.272,0.347,0.405,0.352,109,4.3,67.1,93.0,35.1,100,54,22,314,157,1421.0,581,3.82,3.14,0.51,0.245,0.714,,,3.14,3.64,,17.0,,,,,,,,,,,,,,,,,,,,,,,NL,BRO,157,100,54,,,Y,N,False
2002,Giants,2263,6304,198,784,751,74,0.098,0.152,0.175,0.289,0.266,0.344,0.442,0.338,109,2.8,73.5,72.1,35.1,95,66,43,579,162,1437.1,616,6.21,3.27,0.73,0.281,0.74,0.423,7.3 %,3.55,3.8,4.27,18.1,12936.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,-3.3,4.2,29.3,3.6,33.8,4.2,33.8,NL,SFN,162,95,66,N,Y,Y,N,True
1964,Braves,2094,6203,159,803,755,53,0.078,0.133,0.146,0.294,0.272,0.333,0.418,0.332,112,-3.0,83.8,24.4,35.1,88,74,39,430,162,1434.2,744,5.68,2.84,1.0,0.276,0.688,,,4.12,3.79,,5.3,,,,,,,,,,,,,,,,,,,,,,,NL,ML1,162,88,74,,,N,N,False
1928,Yankees,1774,6067,133,894,817,50,0.093,0.091,0.154,0.31,0.295,0.365,0.45,0.374,116,-15.4,114.0,22.1,35.0,101,53,21,266,154,1375.1,685,3.19,2.96,0.39,0.273,0.675,,,3.74,3.78,,12.8,,,,,,,,,,,,,,,,,,,,,,,AL,NYA,154,101,53,,,Y,Y,False
2007,Phillies,2446,6537,213,892,850,138,0.098,0.184,0.184,0.311,0.274,0.354,0.458,0.351,105,20.6,63.6,78.5,34.9,89,73,42,660,162,1458.1,821,6.48,3.44,1.22,0.301,0.715,0.435,11.9 %,4.76,4.86,4.52,9.9,13125.0,4.0,0.0,26.0,-3.0,16.0,47.0,2455.0,1989.0,0.81,409.0,,,,,11.5,-0.6,20.5,1.2,32.6,6.1,38.6,NL,Phillies,162,89,73,Y,N,N,N,True
1978,Brewers,1632,6227,173,804,762,95,0.084,0.129,0.155,0.294,0.276,0.339,0.432,0.347,117,-0.6,121.0,3.1,34.7,93,69,24,335,162,1436.0,650,3.62,2.49,0.68,0.27,0.712,,,3.65,3.69,,14.8,,,,,,,,,,,,,,,,,,,,,,,AL,ML4,162,93,69,N,,N,N,False
2000,Giants,2123,6418,226,925,889,79,0.11,0.161,0.194,0.303,0.278,0.362,0.472,0.359,112,-1.3,103.7,53.7,34.7,97,65,47,546,162,1444.1,747,6.7,3.88,0.94,0.297,0.719,,,4.21,4.38,,16.4,,,,,,,,,,,,,,,,,,,,,,,NL,SFN,162,97,65,Y,N,N,N,True
2015,Blue Jays,2337,6231,232,891,852,88,0.091,0.185,0.188,0.298,0.269,0.34,0.457,0.344,117,10.2,131.2,-9.1,34.6,93,69,34,631,162,1441.0,670,6.98,2.48,1.08,0.278,0.727,0.437,11.0 %,3.81,4.09,4.14,14.5,12969.0,5.0,7.0,1.0,-4.0,2.0,16.0,2236.0,1857.0,0.831,517.0,,,,21.0,-7.9,-1.8,10.2,0.5,1.0,-1.6,9.0,AL,Blue Jays,162,93,69,Y,N,N,N,True
2011,Rangers,2186,6261,210,855,807,143,0.076,0.149,0.177,0.304,0.283,0.34,0.46,0.347,112,20.6,107.4,17.2,34.6,96,66,38,579,162,1441.1,677,7.36,2.88,1.06,0.278,0.725,0.426,10.7 %,3.79,3.98,3.83,17.9,12972.0,2.0,7.0,-5.0,-5.0,7.0,1.0,2074.0,1752.0,0.845,510.0,55.0,0.1,,48.0,-3.4,7.4,36.9,-10.6,30.3,4.2,36.4,AL,Rangers,162,96,66,Y,N,Y,N,True
2010,Reds,2370,6285,188,790,761,93,0.083,0.194,0.164,0.314,0.272,0.338,0.436,0.34,106,12.7,57.2,80.5,34.5,91,71,43,664,162,1453.0,685,7.0,3.25,0.98,0.288,0.736,0.429,9.4 %,4.02,4.12,4.13,14.6,13077.0,0.0,0.0,-1.0,13.0,21.0,38.0,2307.0,1940.0,0.841,423.0,69.0,5.1,,44.0,-2.6,2.0,19.1,19.4,37.9,4.7,43.9,NL,Reds,162,91,71,Y,N,N,N,True
1951,Dodgers,1890,6176,184,853,791,89,0.097,0.103,0.159,0.285,0.275,0.352,0.435,0.362,109,-6.1,61.9,71.1,34.4,97,60,13,337,158,1423.1,672,4.38,3.47,0.95,0.264,0.732,,,3.88,4.08,,14.4,,,,,,,,,,,,,,,,,,,,,,,NL,BRO,158,97,60,,,N,N,False
1999,Indians,1859,6554,209,1009,960,147,0.113,0.168,0.177,0.323,0.289,0.373,0.467,0.367,112,6.9,114.5,18.6,34.4,97,65,46,628,162,1450.1,860,6.95,3.93,1.22,0.299,0.695,,,4.91,4.78,,15.5,,,,,,,,,,,,,,,,,,,,,,,AL,Indians,162,97,65,Y,N,N,N,True
2003,Cardinals,2391,6466,196,876,827,82,0.09,0.147,0.175,0.302,0.279,0.35,0.454,0.346,109,9.2,83.9,53.5,34.4,85,77,41,622,162,1463.2,796,5.96,3.12,1.29,0.289,0.725,0.411,12.2 %,4.62,4.75,4.6,7.3,13173.0,-1.0,1.0,-3.0,0.0,-7.0,-7.0,2532.0,1901.0,0.751,324.0,,,,,-1.6,0.5,12.4,6.8,18.0,2.0,19.0,NL,SLN,162,85,77,N,N,N,N,False
1985,Cardinals,2121,6182,87,747,687,314,0.095,0.138,0.114,0.298,0.264,0.335,0.379,0.319,102,22.6,37.0,93.0,34.3,101,61,44,457,162,1464.0,572,4.91,2.78,0.6,0.267,0.742,,,3.11,3.45,,17.2,,,,,,,,,,,,,,,,,,,,,,,NL,SLN,162,101,61,Y,,Y,N,True
1983,Tigers,1848,6244,156,789,749,93,0.081,0.133,0.153,0.295,0.274,0.335,0.427,0.339,110,-3.3,66.6,60.6,34.3,92,70,28,367,162,1451.0,679,5.43,3.24,1.05,0.257,0.73,,,3.82,4.21,,13.5,,,,,,,,,,,,,,,,,,,,,,,AL,Tigers,162,92,70,N,,N,N,False
1935,Cubs,1653,6130,88,845,781,66,0.076,0.077,0.126,0.303,0.288,0.347,0.414,0.35,105,11.2,52.9,89.1,34.3,100,54,14,272,154,1394.1,596,3.8,2.58,0.55,0.278,0.722,,,3.26,3.91,,15.1,,,,,,,,,,,,,,,,,,,,,,,NL,CHN,154,100,54,,,Y,N,False
1946,Red Sox,1753,6126,109,792,737,45,0.112,0.108,0.131,0.293,0.271,0.356,0.402,0.36,109,-7.9,54.3,57.7,34.3,104,50,20,307,156,1396.2,594,4.3,3.23,0.57,0.271,0.732,,,3.38,3.36,,17.2,,,,,,,,,,,,,,,,,,,,,,,AL,Red Sox,156,104,50,,,Y,N,False
1968,Tigers,2057,6179,185,671,640,26,0.084,0.156,0.15,0.253,0.235,0.307,0.385,0.316,108,-5.2,42.2,95.4,34.3,103,59,29,402,164,1489.2,492,6.74,2.94,0.78,0.246,0.795,,,2.71,3.06,,17.8,,,,,,,,,,,,,,,,,,,,,,,AL,Tigers,164,103,59,,,Y,Y,False
1938,Yankees,1614,6259,174,966,918,91,0.12,0.099,0.172,0.283,0.274,0.366,0.446,0.374,105,3.4,52.0,63.1,34.2,99,53,13,248,157,1382.0,711,3.69,3.69,0.55,0.283,0.687,,,3.91,4.15,,17.7,,,,,,,,,,,,,,,,,,,,,,,AL,NYA,157,99,53,,,Y,Y,False
1953,Yankees,1914,5953,139,798,762,34,0.11,0.108,0.144,0.291,0.274,0.359,0.418,0.356,115,-6.0,104.1,36.9,34.2,99,52,38,327,151,1358.1,547,4.0,3.31,0.62,0.265,0.754,,,3.2,3.78,,12.7,,,,,,,,,,,,,,,,,,,,,,,AL,NYA,151,99,52,,,Y,Y,False
1942,Red Sox,1625,5984,103,761,702,68,0.099,0.085,0.126,0.291,0.276,0.352,0.403,0.359,109,-12.5,50.7,65.7,34.2,93,59,17,260,152,1358.2,594,3.31,3.66,0.43,0.258,0.711,,,3.44,3.56,,14.3,,,,,,,,,,,,,,,,,,,,,,,AL,Red Sox,152,93,59,,,N,N,False
